trial_number,params,fold_rmses,mean_rmse
14,"{'lookback': 52, 'filters': 37, 'kernel_size': 3, 'lstm_units': 104, 'dense_units': 54, 'dropout_rate': 0.3124496121405842, 'learning_rate': 0.000867271304746041, 'l2_reg': 2.4935957260974702e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.008570584334253162), np.float64(0.0066671439451447285), np.float64(0.0068727821033402366), np.float64(0.01306457263388682), np.float64(0.010256412294605197)]",0.009086299062246029
15,"{'lookback': 22, 'filters': 63, 'kernel_size': 3, 'lstm_units': 67, 'dense_units': 44, 'dropout_rate': 0.311810385816267, 'learning_rate': 0.008675145655490922, 'l2_reg': 1.7600493717378752e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.008438711869145764), np.float64(0.006565578544738124), np.float64(0.006826080095061999), np.float64(0.012545586110645537), np.float64(0.010251167886003406)]",0.008925424901118967
16,"{'lookback': 18, 'filters': 65, 'kernel_size': 5, 'lstm_units': 78, 'dense_units': 43, 'dropout_rate': 0.24913114011978518, 'learning_rate': 0.0032065442614527965, 'l2_reg': 1.637282658821537e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.008531754653512375), np.float64(0.006670319411608454), np.float64(0.00691335235223185), np.float64(0.012801448464560779), np.float64(0.01031946880572884)]",0.00904726873752846
17,"{'lookback': 23, 'filters': 36, 'kernel_size': 3, 'lstm_units': 115, 'dense_units': 42, 'dropout_rate': 0.3160380080454375, 'learning_rate': 0.0007625344687909921, 'l2_reg': 1.2850334707145365e-06, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.009045413118229364), np.float64(0.0066141122328680696), np.float64(0.006939896312087838), np.float64(0.015000860305984118), np.float64(0.010204130745606046)]",0.009560882542955087
19,"{'lookback': 28, 'filters': 40, 'kernel_size': 4, 'lstm_units': 129, 'dense_units': 36, 'dropout_rate': 0.2810521530307524, 'learning_rate': 0.0013213976150138794, 'l2_reg': 0.00022669065067145306, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.01383297010133357), np.float64(0.006646986743316137), np.float64(0.0068744019802738626), np.float64(0.0140270708536634), np.float64(0.010253209866737507)]",0.010326927909064896
21,"{'lookback': 36, 'filters': 77, 'kernel_size': 3, 'lstm_units': 53, 'dense_units': 58, 'dropout_rate': 0.3569425337514896, 'learning_rate': 0.009510055499124282, 'l2_reg': 4.112996492431785e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.00852682399673347), np.float64(0.006647981733969838), np.float64(0.006846280124823077), np.float64(0.012512015093696427), np.float64(0.010275832065778968)]",0.008961786603000354
22,"{'lookback': 48, 'filters': 87, 'kernel_size': 3, 'lstm_units': 48, 'dense_units': 49, 'dropout_rate': 0.34707618130035506, 'learning_rate': 0.00451099530339805, 'l2_reg': 0.00011554532160258811, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.008402957067478534), np.float64(0.006649320905423232), np.float64(0.006790667726319892), np.float64(0.012583092783108518), np.float64(0.010298150663070398)]",0.008944837829080114
23,"{'lookback': 47, 'filters': 100, 'kernel_size': 2, 'lstm_units': 54, 'dense_units': 49, 'dropout_rate': 0.34162033780694223, 'learning_rate': 0.004848260956021396, 'l2_reg': 0.0001336091464513639, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.00849854640219004), np.float64(0.006676891740265612), np.float64(0.006882631227465744), np.float64(0.012545988595253521), np.float64(0.010254657812470707)]",0.008971743155529125
25,"{'lookback': 32, 'filters': 57, 'kernel_size': 4, 'lstm_units': 52, 'dense_units': 47, 'dropout_rate': 0.2669799531734354, 'learning_rate': 0.004323431794936725, 'l2_reg': 2.25245262479098e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.008432353342648911), np.float64(0.006649260413144067), np.float64(0.006768424864372076), np.float64(0.01254365581399195), np.float64(0.010217628415098061)]",0.008922264569851013
27,"{'lookback': 14, 'filters': 45, 'kernel_size': 4, 'lstm_units': 70, 'dense_units': 37, 'dropout_rate': 0.14942812775980002, 'learning_rate': 0.001419145966341517, 'l2_reg': 1.4026245830735438e-05, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.008433820707972436), np.float64(0.006641028548233143), np.float64(0.0069219926202684565), np.float64(0.01425529494433196), np.float64(0.010305257467486834)]",0.009311478857658565
