trial_number,params,fold_rmses,mean_rmse
14,"{'lookback': 52, 'filters': 37, 'kernel_size': 3, 'lstm_units': 104, 'dense_units': 54, 'dropout_rate': 0.3124496121405842, 'learning_rate': 0.000867271304746041, 'l2_reg': 2.3806140280317797e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.014359425991233812), np.float64(0.01202085479391376), np.float64(0.010918796400539907), np.float64(0.024158230634186414), np.float64(0.024672527614471428)]",0.017225967086869066
15,"{'lookback': 22, 'filters': 63, 'kernel_size': 3, 'lstm_units': 66, 'dense_units': 44, 'dropout_rate': 0.31585078232918, 'learning_rate': 0.008675145655490922, 'l2_reg': 1.6801430412653297e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.0143933692258191), np.float64(0.011700948516411522), np.float64(0.010827292681872389), np.float64(0.023860564623410654), np.float64(0.024740602914064783)]",0.01710455559231569
18,"{'lookback': 27, 'filters': 101, 'kernel_size': 3, 'lstm_units': 129, 'dense_units': 59, 'dropout_rate': 0.337201251401416, 'learning_rate': 0.004528520079145237, 'l2_reg': 0.00023804836163157398, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.014349382248647517), np.float64(0.011819699710430735), np.float64(0.010696151045600902), np.float64(0.023732323657068535), np.float64(0.0247535966926541)]",0.01707023067088036
27,"{'lookback': 37, 'filters': 42, 'kernel_size': 2, 'lstm_units': 74, 'dense_units': 55, 'dropout_rate': 0.41047028777181144, 'learning_rate': 0.005715589412463771, 'l2_reg': 0.000931246392396055, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.014364412115983443), np.float64(0.011816396976385425), np.float64(0.010760814440843081), np.float64(0.023770432831075296), np.float64(0.02481970163249339)]",0.01710635159935613
32,"{'lookback': 21, 'filters': 59, 'kernel_size': 3, 'lstm_units': 81, 'dense_units': 41, 'dropout_rate': 0.3219183054650104, 'learning_rate': 0.0032089744201613296, 'l2_reg': 5.868018274518263e-06, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.014898246979212383), np.float64(0.011693008237332285), np.float64(0.010817845632713865), np.float64(0.02463783270306348), np.float64(0.024849328615643648)]",0.01737925243359313
33,"{'lookback': 28, 'filters': 16, 'kernel_size': 3, 'lstm_units': 59, 'dense_units': 36, 'dropout_rate': 0.3150509957315889, 'learning_rate': 0.007549915646655345, 'l2_reg': 3.946223377478088e-06, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.014415280653318823), np.float64(0.011787999008756832), np.float64(0.01081677985557027), np.float64(0.02377036865441892), np.float64(0.024725497510211514)]",0.01710318513645527
36,"{'lookback': 16, 'filters': 28, 'kernel_size': 3, 'lstm_units': 117, 'dense_units': 36, 'dropout_rate': 0.37296872175003204, 'learning_rate': 0.003336387650247907, 'l2_reg': 0.0001718934716700621, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.014425491524347146), np.float64(0.011806879677573564), np.float64(0.010811843539672397), np.float64(0.023418412470994646), np.float64(0.024611838488992073)]",0.017014893140315963
39,"{'lookback': 39, 'filters': 118, 'kernel_size': 3, 'lstm_units': 142, 'dense_units': 58, 'dropout_rate': 0.4035021288947478, 'learning_rate': 0.0002993721040000555, 'l2_reg': 0.0005787124063065021, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.014512039471597377), np.float64(0.01179893002163831), np.float64(0.010784232502107782), np.float64(0.02411562445667665), np.float64(0.025776558975923142)]",0.017397477085588652
41,"{'lookback': 34, 'filters': 16, 'kernel_size': 3, 'lstm_units': 96, 'dense_units': 36, 'dropout_rate': 0.2996767170709706, 'learning_rate': 0.00676298688076796, 'l2_reg': 0.00018917611331272248, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.014417081200179921), np.float64(0.011657859886464568), np.float64(0.010806725036963413), np.float64(0.023689468044344245), np.float64(0.0247038146582812)]",0.01705498976524667
43,"{'lookback': 33, 'filters': 22, 'kernel_size': 3, 'lstm_units': 111, 'dense_units': 27, 'dropout_rate': 0.3703269083846549, 'learning_rate': 0.003700039328682537, 'l2_reg': 0.000285940305002588, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.01447083766605441), np.float64(0.011773120454058577), np.float64(0.010701312455554024), np.float64(0.023699012651522376), np.float64(0.024703300127636774)]",0.01706951667096523
49,"{'lookback': 26, 'filters': 26, 'kernel_size': 4, 'lstm_units': 96, 'dense_units': 38, 'dropout_rate': 0.21318051514340958, 'learning_rate': 0.0040310207958263984, 'l2_reg': 4.942692573389781e-05, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.014568891076073785), np.float64(0.011811565428749074), np.float64(0.01068794187275883), np.float64(0.023643555666592448), np.float64(0.02469136570788476)]",0.01708066395041178
52,"{'lookback': 56, 'filters': 46, 'kernel_size': 3, 'lstm_units': 76, 'dense_units': 25, 'dropout_rate': 0.38229155906607304, 'learning_rate': 0.007786230297990821, 'l2_reg': 0.0002088162913483824, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.014382333957974712), np.float64(0.011724632777076327), np.float64(0.010717146285928625), np.float64(0.023736355375084794), np.float64(0.024740747646976414)]",0.017060243208608175
