trial_number,params,fold_rmses,mean_rmse
15,"{'lookback': 19, 'filters': 75, 'kernel_size': 2, 'lstm_units': 112, 'dense_units': 50, 'dropout_rate': 0.4456715391944511, 'learning_rate': 0.004648511105324292, 'l2_reg': 0.00016340929561108563, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(50.016246518266506), np.float64(42.90786759764105), np.float64(45.862175815678334), np.float64(47.571685493338975), np.float64(50.51256058686426)]",47.37410720235782
16,"{'lookback': 45, 'filters': 41, 'kernel_size': 2, 'lstm_units': 92, 'dense_units': 62, 'dropout_rate': 0.34423729347241944, 'learning_rate': 0.0021382213865786177, 'l2_reg': 0.0004413396560377548, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(49.52474121118198), np.float64(42.66167766174962), np.float64(49.53901189324327), np.float64(49.042583603907), np.float64(50.75584541657619)]",48.30477195733161
19,"{'lookback': 23, 'filters': 44, 'kernel_size': 2, 'lstm_units': 102, 'dense_units': 52, 'dropout_rate': 0.3341893575282536, 'learning_rate': 0.003312853861935761, 'l2_reg': 0.0006191419480866603, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(47.810233903881226), np.float64(41.68323223007126), np.float64(49.049764174857074), np.float64(49.28712982313599), np.float64(47.570484465862805)]",47.08016891956167
21,"{'lookback': 23, 'filters': 66, 'kernel_size': 2, 'lstm_units': 99, 'dense_units': 46, 'dropout_rate': 0.3484483573513138, 'learning_rate': 0.002098200762800969, 'l2_reg': 0.0005861869498340693, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(48.057951081832776), np.float64(42.90993190128188), np.float64(48.31442866750145), np.float64(51.98405282367044), np.float64(50.75647786088334)]",48.404568467033975
22,"{'lookback': 35, 'filters': 45, 'kernel_size': 2, 'lstm_units': 116, 'dense_units': 51, 'dropout_rate': 0.3055570206601597, 'learning_rate': 0.0031814669203675022, 'l2_reg': 0.0009924489371326444, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(49.28019802265817), np.float64(42.66127709753527), np.float64(44.88229797011291), np.float64(52.47245372040944), np.float64(49.530491888375174)]",47.76534373981819
24,"{'lookback': 15, 'filters': 54, 'kernel_size': 3, 'lstm_units': 77, 'dense_units': 59, 'dropout_rate': 0.3605669058315219, 'learning_rate': 0.002623694343483078, 'l2_reg': 0.0005862724073055179, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(49.038954206510724), np.float64(40.70078936561539), np.float64(50.52162354015111), np.float64(53.45476188750365), np.float64(43.647363626437134)]",47.47269852524361
26,"{'lookback': 20, 'filters': 46, 'kernel_size': 2, 'lstm_units': 108, 'dense_units': 67, 'dropout_rate': 0.3906414540152072, 'learning_rate': 0.0034693760560733735, 'l2_reg': 0.0003755970542368734, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(49.5270794013525), np.float64(41.9259159165551), np.float64(44.63751011763776), np.float64(52.47405812209821), np.float64(50.756752824789)]",47.86426327648651
30,"{'lookback': 47, 'filters': 70, 'kernel_size': 2, 'lstm_units': 89, 'dense_units': 32, 'dropout_rate': 0.4011084247575649, 'learning_rate': 0.0007236803606112754, 'l2_reg': 0.000623568809843144, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(49.52360438900315), np.float64(42.41805582083091), np.float64(52.4788342939283), np.float64(49.04063601523614), np.float64(50.510108461327356)]",48.79424779606517
32,"{'lookback': 19, 'filters': 81, 'kernel_size': 2, 'lstm_units': 124, 'dense_units': 43, 'dropout_rate': 0.42851085536563865, 'learning_rate': 0.0047946058487409165, 'l2_reg': 0.00017590584102423378, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(49.52550324611893), np.float64(41.19269213338205), np.float64(49.29383113921777), np.float64(48.55229235900045), np.float64(47.8167417354151)]",47.27621212262686
33,"{'lookback': 22, 'filters': 84, 'kernel_size': 2, 'lstm_units': 127, 'dense_units': 43, 'dropout_rate': 0.4257109991818436, 'learning_rate': 0.006135519561373644, 'l2_reg': 0.00010370262365613546, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(50.751508834944914), np.float64(41.92737150520912), np.float64(47.08971906969531), np.float64(46.83760129263261), np.float64(54.92377909196225)]",48.305995958888836
54,"{'lookback': 17, 'filters': 47, 'kernel_size': 4, 'lstm_units': 82, 'dense_units': 51, 'dropout_rate': 0.38116908023943274, 'learning_rate': 0.0045110909176447065, 'l2_reg': 0.00048154286823839557, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(49.28084059698474), np.float64(42.41623491275411), np.float64(48.55794458615687), np.float64(50.75857442423711), np.float64(46.59177256203559)]",47.52107341643368
58,"{'lookback': 44, 'filters': 65, 'kernel_size': 3, 'lstm_units': 124, 'dense_units': 41, 'dropout_rate': 0.3965567563085928, 'learning_rate': 0.001221945208251246, 'l2_reg': 0.0008148962163498032, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(50.01603306953894), np.float64(42.66029471128509), np.float64(49.53957869281326), np.float64(50.02268416389116), np.float64(47.32375559581913)]",47.91246924666952
