trial_number,params,fold_rmses,mean_rmse
17,"{'lookback': 28, 'filters': 79, 'kernel_size': 3, 'lstm_units': 125, 'dense_units': 49, 'dropout_rate': 0.41655329706665095, 'learning_rate': 0.0010817366866944956, 'l2_reg': 0.00020880345532225605, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(45.613320831831075), np.float64(49.176897868762836), np.float64(49.894362386156715), np.float64(50.368267038693865), np.float64(53.45452884888163)]",49.70147539486523
19,"{'lookback': 48, 'filters': 44, 'kernel_size': 2, 'lstm_units': 102, 'dense_units': 52, 'dropout_rate': 0.3341893575282536, 'learning_rate': 0.003312853861935761, 'l2_reg': 0.0006191419480866603, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(49.41655299914542), np.float64(48.463740364439616), np.float64(52.745994941101145), np.float64(47.51614373625994), np.float64(45.614487499775834)]",48.75138390814439
21,"{'lookback': 32, 'filters': 50, 'kernel_size': 5, 'lstm_units': 82, 'dense_units': 71, 'dropout_rate': 0.30831555060496507, 'learning_rate': 0.007742364216494528, 'l2_reg': 0.00046822513297978263, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(45.851742642010535), np.float64(48.46382101477904), np.float64(56.306859599763946), np.float64(48.940044981711196), np.float64(45.61472690708051)]",49.03543902906905
22,"{'lookback': 38, 'filters': 54, 'kernel_size': 3, 'lstm_units': 96, 'dense_units': 78, 'dropout_rate': 0.3977422829526386, 'learning_rate': 0.005574830895994348, 'l2_reg': 0.0009924489371326444, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(53.215583256243164), np.float64(48.22634191274801), np.float64(44.66856281155436), np.float64(48.94061832377067), np.float64(45.61411521109918)]",48.13304430308308
23,"{'lookback': 31, 'filters': 46, 'kernel_size': 2, 'lstm_units': 76, 'dense_units': 69, 'dropout_rate': 0.2707199461935724, 'learning_rate': 0.0037338040030744, 'l2_reg': 0.0005742284233138391, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(48.94056251639392), np.float64(45.61374830741053), np.float64(46.56874559290891), np.float64(48.94100668778562), np.float64(45.61421939096241)]",47.13565649909228
25,"{'lookback': 27, 'filters': 32, 'kernel_size': 2, 'lstm_units': 72, 'dense_units': 60, 'dropout_rate': 0.26003574739720453, 'learning_rate': 0.0023087299601094293, 'l2_reg': 0.0006392652131383793, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(46.327445113547206), np.float64(44.42704187278088), np.float64(53.457288554785436), np.float64(51.07961511803183), np.float64(47.041336318273736)]",48.46654539548382
26,"{'lookback': 51, 'filters': 45, 'kernel_size': 2, 'lstm_units': 96, 'dense_units': 59, 'dropout_rate': 0.4290737053107649, 'learning_rate': 0.005170220611314116, 'l2_reg': 0.00037449215853776303, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(52.265556948451625), np.float64(45.138766790508015), np.float64(56.30673280554602), np.float64(48.941275655532934), np.float64(45.139164353817726)]",49.55829931077126
27,"{'lookback': 45, 'filters': 63, 'kernel_size': 2, 'lstm_units': 75, 'dense_units': 47, 'dropout_rate': 0.3929846272601063, 'learning_rate': 0.0034695805262156473, 'l2_reg': 0.0005972347407964, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(52.26660928112018), np.float64(46.564763881191936), np.float64(48.94400411008991), np.float64(46.32911067904864), np.float64(43.239708378729446)]",47.46883926603603
29,"{'lookback': 35, 'filters': 71, 'kernel_size': 2, 'lstm_units': 113, 'dense_units': 73, 'dropout_rate': 0.2598603357408255, 'learning_rate': 0.002700115597100126, 'l2_reg': 0.0007030148895323013, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(53.692488180778604), np.float64(48.227544877605446), np.float64(49.41939086645735), np.float64(44.191728619987316), np.float64(52.741337388229255)]",49.654497986611595
31,"{'lookback': 45, 'filters': 63, 'kernel_size': 2, 'lstm_units': 76, 'dense_units': 47, 'dropout_rate': 0.3930607566270651, 'learning_rate': 0.0037701467530050336, 'l2_reg': 0.0006421558536249002, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(47.51656797923982), np.float64(47.514662077367745), np.float64(45.61860027518719), np.float64(47.99178657700245), np.float64(42.526858163081585)]",46.233695014375755
